21:55; операция : (5+3j) - (5+3j) результат :0j
21:56; операция : 1/2 - 5/3 результат :-7/6
22:04; операция : 5/8 + 3/5 результат :49/40
22:05; операция : 3/4 / 3/4 результат :1
22:06; операция : 3/4 + 3/4 результат :3/2
22:09; операция : 3/4 - 3/44 результат :15/22
22:09; операция : 3/4 - 3/4 результат :0
22:10; операция : 3/4 * 3/4 результат :9/16
22:11; операция : 3/4 = 3/4 результат :На 0 делить нельзя!
22:12; операция : 1/2 + 1/2 результат :1
22:13; операция : 3/4 + 3/4 результат :3/2
22:29; операция : (4+4j) + (6-8j) результат :(10-4j)
